Hehee	INTJ
et	SCONJ
see	PRON
tähendas	VERB
tema	PRON
keeles	NOUN
"	PUNCT
tere	INTJ
"	PUNCT
.	PUNCT

Hoolimata	ADP
sellest	DET
puudusest	NOUN
kasutatakse	VERB
USB	NOUN
välkmäludraivides	NOUN
just	ADV
NAND-tüüpi	NOUN
välkmälulülitusi	NOUN
.	PUNCT

Andmekaevandamise	NOUN
kasutusvõimaluste	NOUN
uurimisel	NOUN
meditsiinis	NOUN
on	AUX
suurimaid	ADJ
investeeringuid	NOUN
teinud	VERB
ilmselgelt	ADV
ravimifirmad	NOUN
,	PUNCT
sest	SCONJ
uute	ADJ
ravimite	NOUN
projekteerimine	NOUN
(	PUNCT
drug	X
design	X
)	PUNCT
on	AUX
juba	ADV
oma	PRON
olemuselt	NOUN
ääretult	ADV
üldiselt	ADV
võetuna	ADJ
kombinatsioon	NOUN
ainetest	NOUN
,	PUNCT
millele	PRON
organism	NOUN
üht	DET
või	CCONJ
teist	PRON
moodi	ADV
reageerib	VERB
(	PUNCT
uurimiseesmärgiks	NOUN
seega	ADV
eri	ADJ
kombinatsioonide	NOUN
lahterdamine	NOUN
)	PUNCT
.	PUNCT

CALIBRATE	PROPN
projekti	NOUN
raames	ADP
uuritakse	VERB
,	PUNCT
kuidas	ADV
õpiobjektide	NOUN
sisu	NOUN
seostub	VERB
konkreetse	ADJ
riigi	NOUN
õppekavaga	NOUN
.	PUNCT

Nende	DET
haiguste	NOUN
tekkes	NOUN
on	AUX
oluline	ADJ
osa	NOUN
lipiidide	NOUN
metabolismi	NOUN
häiretes	NOUN
ja	CCONJ
vereliistakute	NOUN
hüperaktiivsuses	NOUN
(	PUNCT
Viigimaa	PROPN
et	X
al.	X
,	PUNCT
1994	NUM
;	PUNCT
1995	NUM
)	PUNCT
.	PUNCT

Nn.	ADJ
Zutpheni	PROPN
uuringutel	NOUN
(	PUNCT
Kromhout	PROPN
et	X
al.	X
,	PUNCT
1985	NUM
)	PUNCT
selgitati	VERB
,	PUNCT
et	SCONJ
suremus	NOUN
südame-veresoonkonna	NOUN
haigustesse	NOUN
oli	AUX
sellel	DET
elanikkonna	NOUN
osal	NOUN
,	PUNCT
kes	PRON
tarbis	VERB
vähemalt	ADV
30	NUM
g	NOUN
kala	NOUN
päevas	NOUN
,	PUNCT
umbes	ADV
50	NUM
%	SYM
madalam	ADJ
.	PUNCT

Kasutatud	ADJ
mereahvenajahu	NOUN
sisaldas	VERB
10	NUM
%	SYM
lipiide	NOUN
.	PUNCT

Mitmed	PRON
teadlased	NOUN
on	AUX
täheldanud	VERB
ameerika	ADJ
heeringa	NOUN
õli	NOUN
söötmise	NOUN
positiivset	ADJ
mõju	NOUN
kanabroilerite	NOUN
kasvule	NOUN
(	PUNCT
Dansky	PROPN
,	PUNCT
1962	NUM
;	PUNCT
Edwards	PROPN
et	X
al.	X
,	PUNCT
1962	NUM
;	PUNCT
Edwards	PROPN
,	PUNCT
Marion	PROPN
,	PUNCT
1963	NUM
)	PUNCT
.	PUNCT

413	NUM
uuritust	NOUN
hindas	VERB
oma	PRON
une	NOUN
kvaliteeti	NOUN
heaks	ADJ
või	CCONJ
pigem	ADV
heaks	ADJ
69,2	NUM
%	SYM
(	PUNCT
286	NUM
)	PUNCT
;	PUNCT
rahuldavaks	ADJ
23,7	NUM
%	SYM
(	PUNCT
98	NUM
)	PUNCT
ning	CCONJ
pigem	ADV
halvaks	ADJ
või	CCONJ
halvaks	ADJ
7,0	NUM
%	SYM
(	PUNCT
29	NUM
)	PUNCT
.	PUNCT

Olles	AUX
pikka	ADJ
aega	NOUN
olnud	AUX
maa	NOUN
,	PUNCT
kus	ADV
majandus	NOUN
,	PUNCT
sh	ADV
eriti	ADV
tööstus	NOUN
,	PUNCT
on	AUX
hoogsalt	ADV
kasvanud	VERB
(	PUNCT
va	ADV
mõned	DET
stagnatsiooniperioodid	NOUN
)	PUNCT
ning	CCONJ
samal	DET
ajal	NOUN
on	AUX
aga	CCONJ
tööpuuudus	NOUN
olnud	AUX
pidevalt	ADV
väga	ADV
kõrge	ADJ
(	PUNCT
ulatudes	VERB
14-18	NUM
%-ni	SYM
)	PUNCT
hakkas	VERB
ta	PRON
90ndate	ADJ
aastate	NOUN
keskpaigast	NOUN
vähenema	VERB
,	PUNCT
langedes	VERB
90ndate	ADJ
lõpul	NOUN
mõne	DET
protsendi	NOUN
tasemele	NOUN
.	PUNCT

Ah	INTJ
et	SCONJ
mida	PRON
ma	PRON
teen	VERB
?	PUNCT

Kohe	ADV
tuleb	VERB
päikese	NOUN
torm	NOUN
ja	CCONJ
siis	ADV
hakkame	VERB
soomlastega	NOUN
võistlema	VERB
telefoni	NOUN
heitmises	NOUN
(	PUNCT
teatavasti	ADV
selline	DET
ala	NOUN
soomes	PROPN
spordis	NOUN
olemas	VERB
:D	INTJ
)	PUNCT
